,0,1
0,E:/Machine Learning/Datasets/bct\Krimesh\user45.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user46.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user47.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user48.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user49.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user5.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user50.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user51.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user52.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user53.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user54.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user55.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user56.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user57.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user58.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user59.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user6.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user60.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user61.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user62.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user63.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user64.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user65.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user66.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user67.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user68.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user69.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user7.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user70.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user71.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user72.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user73.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user74.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user75.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user76.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user77.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user78.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user79.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user8.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user80.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user81.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user82.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user83.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user84.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user85.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user86.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user87.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user88.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user89.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user90.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user91.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user92.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user93.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user94.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user95.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user96.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user97.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user98.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Krimesh\user99.jpg,Krimesh
0,E:/Machine Learning/Datasets/bct\Neema\user1.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user10.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user100.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user11.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user12.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user13.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user14.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user15.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user16.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user17.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user18.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user19.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user2.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user20.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user21.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user22.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user23.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user24.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user25.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user26.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user27.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user28.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user29.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user3.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user30.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user31.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user32.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user33.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user34.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user35.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user36.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user37.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user38.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user39.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user4.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user40.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user41.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user42.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user43.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user44.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user45.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user46.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user47.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user48.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user49.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user5.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user50.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user51.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user52.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user53.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user54.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user55.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user56.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user57.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user58.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user59.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user6.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user60.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user61.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user62.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user63.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user64.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user65.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user66.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user67.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user68.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user69.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user7.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user70.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user71.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user72.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user73.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user74.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user75.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user76.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user77.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user78.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user79.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user8.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user80.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user81.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user82.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user83.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user84.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user85.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user86.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user87.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user88.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user89.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user9.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user90.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user91.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user92.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user93.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user94.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user95.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user96.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user97.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user98.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Neema\user99.jpg,Neema
0,E:/Machine Learning/Datasets/bct\Pragya\user1.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user10.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user100.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user11.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user12.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user13.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user14.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user15.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user16.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user17.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user18.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user19.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user2.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user20.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user21.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user22.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user23.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user24.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user25.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user26.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user27.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user28.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user29.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user3.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user30.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user31.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user32.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user33.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user34.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user35.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user36.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user37.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user38.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user39.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user4.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user40.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user41.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user42.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user43.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user44.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user45.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user46.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user47.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user48.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user49.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user5.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user50.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user51.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user52.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user53.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user54.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user55.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user56.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user57.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user58.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user59.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user6.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user60.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user61.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user62.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user63.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user64.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user65.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user66.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user67.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user68.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user69.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user7.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user70.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user71.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user72.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user73.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user74.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user75.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user76.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user77.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user78.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user79.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user8.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user80.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user81.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user82.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user83.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user84.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user85.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user86.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user87.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user88.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user89.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user9.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user90.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user91.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user92.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user93.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user94.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user95.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user96.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user97.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Pragya\user98.jpg,Pragya
0,E:/Machine Learning/Datasets/bct\Prajwal\user1.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user10.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user100.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user11.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user12.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user13.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user14.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user15.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user16.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user17.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user18.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user19.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user2.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user20.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user21.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user22.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user23.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user24.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user25.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user26.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user27.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user28.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user29.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user3.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user30.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user31.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user32.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user33.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user34.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user35.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user36.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user37.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user38.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user39.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user4.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user40.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user41.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user42.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user43.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user44.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user45.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user46.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user47.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user48.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user49.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user5.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user50.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user51.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user52.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user53.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user54.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user55.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user56.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user57.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user58.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user59.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user6.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user60.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user61.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user62.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user63.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user64.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user65.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user66.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user67.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user68.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user69.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user7.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user70.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user71.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user72.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user73.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user74.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user75.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user76.jpg,Prajwal
0,E:/Machine Learning/Datasets/bct\Prajwal\user77.jpg,Prajwal
